strat_x,strat_y,round
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.26,27.626020568181822,0.0
1.28,27.45066863636364,0.0
1.3,27.37362784090909,0.0
1.33,27.408851846590924,0.0
1.36,27.360997727272732,0.0
1.39,27.226647528409092,0.0
1.43,27.17152048295455,0.0
1.48,27.174750909090914,0.0
1.54,27.21290965909092,0.0
1.6,27.110625,0.0
1.67,27.004141392045454,0.0
1.76,26.99914500000001,0.0
1.86,26.913940568181825,0.0
1.98,26.8323778409091,0.0
2.12,26.69233636363638,0.0
2.3,26.625673295454543,0.0
2.51,26.416958210227275,0.0
2.79,26.27642139204546,0.0
3.16,26.10608181818183,0.0
3.66,25.824596022727288,0.0
4.41,25.5030384375,0.0
5.67,25.025831846590915,0.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.26,23.123070113636373,1.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.25,22.958753551136372,2.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.24,22.794249090909098,3.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
1.23,22.629556732954555,4.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
10.0,94.8883522727273,5.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.99,94.88825832386368,6.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
9.98,94.88797647727277,7.0
