strat_x,strat_y,round
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.26,27.605044090909093,0.0
1.3,27.121965909090907,0.0
1.36,27.039103636363645,0.0
1.43,26.77228465909091,0.0
1.54,26.719649545454544,0.0
1.67,26.402452840909095,0.0
1.86,26.173733181818186,0.0
2.12,25.774960000000018,0.0
2.51,25.25619375,0.0
3.16,24.58130181818183,0.0
4.41,23.382739204545484,0.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.26,23.130062272727276,1.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.25,22.965696022727276,2.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.24,22.80114181818182,3.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.23,22.636399659090912,4.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.22,22.471469545454546,5.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.21,22.306351477272727,6.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.2,22.141045454545456,7.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.19,21.975551477272724,8.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.18,21.809869545454546,9.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.17,21.64399965909091,10.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.16,21.47794181818182,11.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1500000000000001,21.311696022727276,12.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1400000000000001,21.145262272727276,13.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.1300000000000001,20.97864056818182,14.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.12,20.81183090909091,15.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.11,20.64483329545455,16.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.1,20.47764772727273,17.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.09,20.310274204545458,18.0
1.08,20.14271272727273,19.0
1.08,20.14271272727273,19.0
1.08,20.14271272727273,19.0
1.08,20.14271272727273,19.0
1.08,20.14271272727273,19.0
