strategies,round
9.89,28.0
9.89,28.0
9.89,28.0
9.89,28.0
9.89,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,28.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.88,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,29.0
9.870000000000001,30.0
9.870000000000001,30.0
9.870000000000001,30.0
9.870000000000001,30.0
9.870000000000001,30.0
9.870000000000001,30.0
9.870000000000001,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,30.0
9.86,31.0
9.86,31.0
9.86,31.0
9.86,31.0
9.86,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,31.0
9.85,32.0
9.85,32.0
9.85,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,32.0
9.84,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.83,33.0
9.82,33.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.82,34.0
9.81,34.0
9.81,34.0
9.81,34.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.81,35.0
9.8,35.0
9.8,35.0
9.8,35.0
9.8,35.0
9.8,35.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.8,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,36.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.790000000000001,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,37.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.78,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,38.0
9.77,39.0
9.77,39.0
9.77,39.0
9.77,39.0
9.77,39.0
9.77,39.0
9.77,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,39.0
9.76,40.0
9.76,40.0
9.76,40.0
9.76,40.0
9.76,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,40.0
9.75,41.0
9.75,41.0
9.75,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,41.0
9.74,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.73,42.0
9.72,42.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.72,43.0
9.71,43.0
9.71,43.0
9.71,43.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.71,44.0
9.700000000000001,44.0
9.700000000000001,44.0
9.700000000000001,44.0
9.700000000000001,44.0
9.700000000000001,44.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.700000000000001,45.0
9.69,45.0
9.69,45.0
9.69,45.0
9.69,45.0
9.69,45.0
9.69,45.0
9.69,45.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.69,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,46.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.68,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,47.0
9.67,48.0
9.67,48.0
9.67,48.0
9.67,48.0
9.67,48.0
9.67,48.0
9.67,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,48.0
9.66,49.0
9.66,49.0
9.66,49.0
9.66,49.0
9.66,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,49.0
9.65,50.0
9.65,50.0
9.65,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,50.0
9.64,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
9.63,51.0
