,0
0,6
1,6
2,7
3,6
4,6
5,7
6,8
7,6
8,9
9,4
10,5
11,4
12,6
13,8
14,6
15,5
16,7
17,7
18,7
19,5
20,4
21,6
22,6
23,5
24,7
25,6
26,6
27,6
28,5
29,5
30,8
31,9
32,4
33,6
34,6
35,4
36,7
37,4
38,5
39,6
40,7
41,5
42,7
43,7
44,4
45,8
46,6
47,6
48,6
49,6
50,6
51,6
52,7
53,5
54,5
55,7
56,8
57,6
58,6
59,6
60,4
61,5
62,5
63,7
64,8
65,5
66,6
67,7
68,6
69,6
70,7
71,6
72,5
73,6
74,5
75,5
76,6
77,5
78,8
79,6
80,7
81,7
82,4
83,5
84,4
85,5
86,6
87,8
88,7
89,8
90,7
91,5
92,6
93,6
94,8
95,4
96,10
97,6
98,7
99,5
100,4
101,5
102,6
103,7
104,4
105,7
106,7
107,7
108,4
109,6
110,7
111,6
112,5
113,4
114,6
115,8
116,6
117,9
118,6
119,4
120,6
121,4
122,4
123,5
124,7
125,7
126,4
127,6
128,5
129,6
130,7
131,5
132,5
133,8
134,6
135,7
136,5
137,5
138,6
139,8
140,5
141,5
142,5
143,5
144,3
145,6
146,6
147,5
148,6
149,8
150,5
151,6
152,6
153,9
154,10
155,6
156,6
157,6
158,4
159,9
160,7
161,5
162,6
163,9
164,6
165,8
166,5
167,7
168,7
169,4
170,6
171,6
172,6
173,6
174,6
175,6
176,7
177,4
178,7
179,4
180,5
181,6
182,7
183,5
184,6
185,5
186,7
187,12
188,6
189,6
190,6
191,6
192,5
193,7
194,5
195,8
196,7
197,7
198,7
199,7
200,5
