,0
0,9
1,8
2,10
3,8
4,11
5,10
6,9
7,8
8,10
9,12
10,13
11,14
12,6
13,9
14,12
15,12
16,10
17,11
18,7
19,7
20,10
21,17
22,10
23,13
24,10
25,9
26,8
27,8
28,10
29,10
30,13
31,10
32,9
33,14
34,8
35,11
36,10
37,7
38,13
39,8
40,5
41,17
42,14
43,15
44,12
45,7
46,13
47,7
48,8
49,11
50,6
51,7
52,9
53,11
54,13
55,8
56,7
57,10
58,8
59,11
60,13
61,11
62,9
63,15
64,8
65,5
66,11
67,13
68,8
69,9
70,12
71,12
72,9
73,9
74,10
75,7
76,9
77,10
78,8
79,9
80,12
81,8
82,8
83,11
84,10
85,10
86,9
87,14
88,9
89,9
90,8
91,9
92,7
93,12
94,13
95,13
96,11
97,8
98,8
99,13
100,15
101,11
102,9
103,18
104,8
105,11
106,9
107,11
108,6
109,9
110,11
111,12
112,7
113,14
114,11
115,11
116,9
117,11
118,15
119,12
120,8
121,6
122,12
123,9
124,15
125,10
126,11
127,8
128,11
129,11
130,12
131,18
132,8
133,9
134,7
135,10
136,7
137,8
138,9
139,9
140,11
141,11
142,9
143,10
144,14
145,9
146,7
147,16
148,10
149,7
150,7
151,8
152,9
153,10
154,10
155,14
156,9
157,12
158,8
159,16
160,10
161,11
162,9
163,15
164,8
165,12
166,6
167,14
168,10
169,9
170,11
171,7
172,8
173,9
174,12
175,7
176,11
177,15
178,7
179,11
180,13
181,8
182,11
183,8
184,12
185,9
186,8
187,12
188,14
189,11
190,12
191,11
192,11
193,15
194,6
195,8
196,9
197,10
198,10
199,10
200,12
